10/16 12:42:33.469  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,3.4.0,PROJECT_ID,11
10/16 12:43:06.355  SPELL_AURA_REFRESH,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,47436,"Battle Shout",0x1,BUFF
10/16 12:43:06.355  SPELL_CAST_SUCCESS,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,47436,"Battle Shout",0x1,Player-4811-0381F1C0,0000000000000000,100,100,3856,0,13334,1,0,1000,0,6291.18,285.91,0,3.9741,207
10/16 12:43:06.355  SPELL_AURA_REFRESH,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,47436,"Battle Shout",0x1,BUFF
10/16 12:43:23.373  SPELL_AURA_APPLIED,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,43308,"Find Fish",0x1,BUFF
10/16 12:43:23.373  SPELL_AURA_APPLIED,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,49281,"Lightning Shield",0x8,BUFF
10/16 12:43:23.373  SPELL_AURA_APPLIED,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,546,"Water Walking",0x8,BUFF
10/16 12:43:23.373  SPELL_AURA_APPLIED,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,546,"Water Walking",0x8,BUFF
10/16 12:43:23.373  SPELL_AURA_APPLIED,Pet-0-4459-562-5395-1863-01007177A8,"Bronnys",0x1228,0x0,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,25228,"Soul Link",0x20,BUFF
10/16 12:43:23.373  SPELL_AURA_APPLIED,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,47893,"Fel Armor",0x20,BUFF
10/16 12:43:24.339  SPELL_PERIODIC_HEAL,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,47893,"Fel Armor",0x20,Player-4476-045C7252,0000000000000000,100,100,54,2197,1989,0,14421,14421,0,6186.90,240.58,0,0.8396,204,465,465,465,0,nil
10/16 12:43:25.340  SPELL_AURA_REMOVED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,23214,"Charger",0x2,BUFF
10/16 12:43:25.340  SPELL_CAST_SUCCESS,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,53563,"Beacon of Light",0x2,Player-4811-036B0F06,0000000000000000,100,100,1102,1538,19409,0,18109,18109,1537,6281.42,257.80,0,3.4126,200
10/16 12:43:25.340  SPELL_AURA_APPLIED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,53563,"Beacon of Light",0x2,BUFF
10/16 12:43:25.456  SPELL_CAST_FAILED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,53563,"Beacon of Light",0x2,"Not yet recovered"
10/16 12:43:26.756  SPELL_CAST_SUCCESS,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,53601,"Sacred Shield",0x2,Player-4811-036B0F06,0000000000000000,100,100,1102,1538,19409,0,16667,18109,527,6276.95,248.38,0,3.3536,200
10/16 12:43:26.756  SPELL_AURA_APPLIED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,60479,"Forge Ember",0x1,BUFF
10/16 12:43:26.756  SPELL_AURA_APPLIED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,53601,"Sacred Shield",0x2,BUFF
10/16 12:43:26.873  SPELL_CAST_FAILED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,53601,"Sacred Shield",0x2,"Not yet recovered"
10/16 12:43:29.289  SPELL_PERIODIC_HEAL,Player-4476-045C7252,"Notyourlock-Gehennas",0x10548,0x0,Player-4476-045C7252,"Notyourlock-Gehennas",0x10548,0x0,47893,"Fel Armor",0x20,Player-4476-045C7252,0000000000000000,100,100,54,2197,1989,0,14421,14421,0,6212.85,282.32,0,5.7903,204,465,465,465,0,nil
10/16 12:43:31.089  SPELL_CAST_FAILED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,32235,"Golden Gryphon",0x1,"You can't use that here."
10/16 12:43:31.174  SPELL_CAST_SUCCESS,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,49233,"Flame Shock",0x4,Player-4476-043F3626,0000000000000000,100,100,334,1933,13722,0,12921,12921,747,6243.65,270.83,0,0.3691,201
10/16 12:43:31.174  SPELL_AURA_APPLIED,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,60196,"Berserker!",0x1,BUFF
10/16 12:43:31.174  SPELL_DAMAGE,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,49233,"Flame Shock",0x4,Player-4811-0381F1C0,0000000000000000,96,100,3856,0,13334,1,52,1000,0,6270.29,262.17,0,5.3721,207,944,943,-1,4,0,0,0,nil,nil,nil
10/16 12:43:31.174  SPELL_AURA_APPLIED,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,49233,"Flame Shock",0x4,DEBUFF
10/16 12:43:31.174  SPELL_CAST_START,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,23214,"Charger",0x2
10/16 12:43:31.174  SPELL_AURA_APPLIED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,58597,"Sacred Shield",0x2,BUFF
10/16 12:43:31.273  SPELL_CAST_FAILED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,32235,"Golden Gryphon",0x1,"You can't use that here."
