8/5 22:01:43.041  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,356337,"Rune of Spellwarding",0x1,BUFF
8/5 22:01:43.041  SPELL_AURA_APPLIED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x528,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,974,"Earth Shield",0x8,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,324867,"Fleshcraft",0x20,BUFF,24954
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,2580,"Find Minerals",0x1,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,347600,"Infused Ruby Tracking",0x1,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,186403,"Sign of Battle",0x1,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,5697,"Unending Breath",0x20,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,196099,"Grimoire of Sacrifice",0x20,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,43308,"Find Fish",0x1,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,186403,"Sign of Battle",0x1,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,236502,"Tidebringer",0x1,BUFF
8/5 22:01:43.050  SPELL_AURA_APPLIED,Player-1623-08DAD60D,"Оксси-Дракономор",0x548,0x0,Player-1623-03E4E265,"Шамтуу-Дракономор",0x548,0x0,5697,"Unending Breath",0x20,BUFF
