11/2 18:54:04.641  SPELL_AURA_APPLIED,Player-2073-094DF239,"Gaggaroth-Stormscale",0x548,0x0,Player-2073-094DF239,"Gaggaroth-Stormscale",0x548,0x0,225788,"Sign of the Emissary",0x1,BUFF
11/2 18:54:04.641  SPELL_AURA_APPLIED,Player-2073-094DF239,"Gaggaroth-Stormscale",0x548,0x0,Player-2073-094DF239,"Gaggaroth-Stormscale",0x548,0x0,383648,"Earth Shield",0x8,BUFF
11/2 18:54:05.600  SPELL_AURA_APPLIED,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,66,"Invisibility",0x40,BUFF
11/2 18:54:05.600  SPELL_CAST_SUCCESS,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,66,"Invisibility",0x40,Player-580-0A594065,0000000000000000,65520,65520,223,2103,508,16622,0,60200,60200,1500,-10650.71,430.60,0,3.1832,254
11/2 18:54:07.601  SPELL_AURA_REMOVED,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,66,"Invisibility",0x40,BUFF
11/2 18:54:07.601  SPELL_AURA_APPLIED,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,32612,"Invisibility",0x40,BUFF
11/2 18:54:10.051  SPELL_CAST_SUCCESS,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,0000000000000000,nil,0x80000000,0x80000000,26573,"Consecration",0x2,Player-1929-0675D6C6,0000000000000000,77660,77660,2627,449,1869,0,0,10000,10000,0,-10748.61,460.41,0,5.7746,278
11/2 18:54:13.484  SPELL_CAST_SUCCESS,Player-1098-0A781F24,"Herbèrt-Malygos",0x10512,0x2,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,Player-1098-0A781F24,0000000000000000,82600,82600,2910,305,1782,0,1,0,1150,0,-10748.12,460.82,0,0.0262,278
11/2 18:54:15.167  SPELL_CAST_SUCCESS,Player-1098-0A781F24,"Herbèrt-Malygos",0x10512,0x2,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,Player-1098-0A781F24,0000000000000000,82600,82600,2910,305,1782,0,1,0,1150,0,-10744.92,462.25,0,5.7047,278
11/2 18:54:16.851  SPELL_CAST_SUCCESS,Player-1098-0A781F24,"Herbèrt-Malygos",0x512,0x2,0000000000000000,nil,0x80000000,0x80000000,190411,"Whirlwind",0x1,Player-1098-0A781F24,0000000000000000,82600,82600,2910,305,1782,0,1,0,1150,0,-10748.44,459.43,0,6.0323,278
11/2 18:54:17.751  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x528,0x0,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,6770,"Sap",0x1,DEBUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,225788,"Sign of the Emissary",0x1,BUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,154797,"Touch of Elune - Night",0x1,BUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1929-0675D6C6,"Тиберриус-ЧерныйШрам",0x512,0x20,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,204242,"Consecration",0x2,DEBUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,115192,"Subterfuge",0x1,BUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,8679,"Wound Poison",0x1,BUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,3408,"Crippling Poison",0x1,BUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,343173,"Premeditation",0x1,BUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,115191,"Stealth",0x1,BUFF
11/2 18:54:17.806  SPELL_AURA_APPLIED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,340094,"Master Assassin's Mark",0x1,BUFF
11/2 18:54:17.806  SPELL_AURA_REMOVED,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,Player-1335-09D86B90,"Daks-Ysondre",0x548,0x0,115191,"Stealth",0x1,BUFF
